text,emotion
kak bisa ke sf jg keren dah jujur takut tapi seruuuu,Happy
sbb aduu tegang gitu ye wkwk,Happy
but today presentasi geo malu banget tapi legaaaa wkwkwk,Happy
akhirnya ga malu lagi,Happy
"terinspirasi dari kekuatan doa, yuk zuhur ini kita saling mendoakan. saya titip ke teman2 doakan tuk kesembuhan ibu dan kelancaran prog dakwah aja . temen temen mau titip apa? komen aja di bawah yg malu komen, cukup like aja ntar di doakan yg baik baik",Happy
"alhamdulillah beneran jeongwoo, aq jadi tidak malu nanti awoaowkakw",Happy
alhamdulillah ga malu lagi kita tum,Happy
tau aja lu kan jadi malu gw wkwk,Happy
ih jadi malu dipanggil bestie sama makji tapi happi,Happy
wkwk kenapa harus malu? kocak wkwk,Happy
lucu banget kakak tertua takut sama saya.,Happy
"hwaah jadi malu dibilang wendy og. Tetap bersyukur :D makasih banyak, kiel",Happy
"dont. kalo panik, ntar stres, makin kebawa ke badan. percayain aja ke dokter ama susternya. yg penting lo disiplin ngobat, makan, minum, istirahat /pukpuk stay strong brooo",Happy
alhamdulillah enggak jd malu tuk kesekian kalinya,Happy
"trs kalo ciput, kalo kena itu disuruh pake atasan mukena!! awal2 liat kaget trs kayak mau ngetawain gt, tp makin lama makin biasa. atau engga, kalo lg ada pemeriksaan trs lg ga pake ciput, kita pada muter balik ngadep tembok masang ciput ga nyampe 15 detik lol",Happy
semangat ya dirimu tak takut tetap berjuang,Happy
udah kayaknya segitu aja review (pantas disebut review ga sih?) atau kesan yang gw rasain selama nonton snowdrop gw ga spoiler terlalu banyak jadi moga pas nonton tetep bisa kaget dan kesel wkwk since its one of must watch drama too! ^^,Happy
wajibb. nyak dulu ambil karna takut abis hahahahahaha,Happy
"wkwk tapi maaf banget ini aku nganggep lucu. grup angkatan ada yang ngabarin crush ku ilang. aku malah kayak ketawa panik, tapi sebenarnya gak panik, soalnya dia laki, terus katany hobi traveling. tapi semoga itu cuma becandaan ya, soalnya aku ngetawain. terakhir on 11:33 pulsek.",Happy
"gemes kalau liat kamu malu malu, mau saya kekepin seharian.",Happy
"ga kuat ngakak bgtt, ap g malu y orngny di spill gini",Happy
iya kaget ngeliat saya rajin hehehe seneng,Happy
wkwk sama bangga banget merasa bener nebak jeongwoo walaupun sempet ragu sama bahunya tapi yakin suara jeongwoo,Happy
wahaha syukur ye gajadi malu,Happy
wkwkkw ga jadi malu sefandom,Happy
"tiba-tiba keinget, dulu pas ospek ada senior yang baik banget sama aku, sampe diajak ngobrol pake bahasanya dia, aku gak ngerti dong, ternyata dia pikir sekolah asalku dari provinsi dia padahal beda haha tapiya tetep baik sih, cuma dia agak malu aja tiap ketemu",Happy
wkwk panik u?,Happy
gue jugaa hahhaa plus kaget,Happy
"lagi sebar duit lewat dana kaget nih! cuma buat kamu yang paling gesit, sikat sekarang",Happy
"yuk, bagi sobat pandai yang lagi jomblo, ldr, atau jauh dari yang terkasih, jangan khawatir. bisa banget ikut coaching clinic yang membahas informasi terkait dengan tugas belajar dan izin belajar ini.. ehe. untuk mendaftar, sobat pandai bisa cek di ideas yaa~",Happy
jadi malu :3 tapi seru wkwkwkwk,Happy
mandiri tanggung jawab rendah hati sabar dan takut akan tuhan..itu saja udah cukup utk harapanku :3,Happy
agak malu tp alhamdulillah sih wkwk,Happy
ampun kenapa para seme pada risih atau malu buat manja? hey kalian begitu tuh lucu banget tau malah mau kekep ampe bengek .g,Happy
"iyaa, terus eps 10 maren tuh banyak animator anime yang keren ditarik jadi emang hasinya ngeri mantap banget sih",Happy
alhamdulillah kaga jadi malu,Happy
iya kebalik lah wkwkw mana ada ngaruh wkwk yang ada mereka yg ganti jadwal aja kalo bareng biasanya mereka yg takut wkkw,Happy
malu bgtt anjrot hahahahahhaa ngakak,Happy
"bingung banget si, kaget..tapi mari kita hadapi dengan percaya diri dan dengan gayamu sendiri saf, semangat!",Happy
"mjb, tapi baca ini ngakak banget, pura pura kaget :D",Happy
"eh iya bener, aku kemaren kepilih buat ngisi acara rapat kan nah aku takut klo ngomongnya belibet trs aku minta sama allah biar dilancarin semuanya, dan bener allah lancarin semuanya sampe acara selesai",Happy
"kalo udah interact sama kamerad joo ngga jadi kesel, mana kamerad joo nya gemes banget kayak malu malu kucing plis gw jadi salfok sama mereka their little moment in every episode are so precious",Happy
"aku pernah ni begini, lebih ke malu sih wkwk karna masak bareng temen tapi seruuu",Happy
cb bayangin kl sbenernya itu foto idol kpop trs di edit sm si sendernya woaksowkak,Happy
"alhamdulillah kalau nanti balik lagi, panik banget tadi tapi bersyukur ja deh",Happy
oke berarti dianya panik jd jawabnya ga konsisten wkwkw,Happy
ternyata abang masih inget dirikyuu jadi pengen malu akyuu,Happy
"ada jg razia yg ga upacara. pas kelas 8 pernah sekali sok sakit jd stay di kelas sm 3 preman kelas tp ketauan gt trs pas disuruh turun ke lapangan, 2 org lain jalan jongkok supaya ga keliatan (kelas w lt 2) dan w sm yg satunya lg jalan biasa trs dikira bolos buat pacaran ajg malu kawkawkawkkakawkka",Happy
kaget tapi senang aa changmin,Happy
hai kak ria aku baru selesai baca reksa arisa dan ceritanya bagus banget kak ria keren banget udah buat cerita sebagus ini makasih banyak kak dan maaf ya aku sebenernya bingung mau ngetik nya takut ada salah kata semoga kak ria bahagia dan sehat sehat terus ya kak ria,Happy
"wkwk padahal kemaren gw dah siap siap nahan malu, untung gajadi",Happy
sehat selalu panjang umur aamiin,Happy
"kalau cewek udah ngeblokir/mute akun org, tapi msh ngintip akun org itu, konsepnya gimana tuh sis.. : definition of munafikun.. kangen tp malu dia bro.. haha..",Happy
nyenye gak takut wleekk wkowkowko,Happy
"pas punya dowoon wonpil kaget karena baru tau ada wish dari member, pas young k ""okee eod"", pas sungjin ""lahh,, ada dia juga wkwk""",Happy
"wkwkwk inget banget sama video ini, yg namjin muji penampilan hobi terus ada juga pas video jungkook muji kalau hobi hari itu ganteng banget gak kayak biasanya, sampe malu anaknya i vote for at the 2022",Happy
kok orang-orang pada takut kecoa? padahal seru loh liat dia terbang.. Wkkwkwkwkwk,Happy
semangat bar2 tanpa takut limit,Happy
"kita mungkin sekarang merasa takut, tapi nanti itulah yang membuat kita menjadi lebih kuat. cemangatttt",Happy
"terkahir deh, sengaja jg baru update skrng krn waktu itu banyak bngt pikiran smpe mikir takut ga lulus jadi blm berani share, eh aku lulus ternyata bestie hahah. ini beneran terkahir.",Happy
"semoga! hihi, terima kasih banyak, lisa! itu lagu bucin pokoknya wkwk, tentang cewek yang selalu mau menghabiskan waktunya sama seseorang spesial yang dia suka",Happy
"astaga temennya glo ada di mana-mana. rasanya males banget gak sih buat ngelanjutin gambar-gambar lama wkakak. hmm yupi ya, dulu aku suka beli yupi ulet apa cacing ya. pokoknya yang kayak ulet itu. tapi sekarang udah gak pernah beli lagi hehe",Happy
"selamat pagi, sender! kebetulan alec sesuai banget sama kriteria kamu. dia main fc nya jaehyun terus side fcnya juyeon! dia juga bukan orangnya cuek dingin sama pasangannya, justru dia itu sangat talkative dan suka diskusi banyak hal!”",Happy
"jaman smp, aku sering banget nangis. ngerasa aku orang yang paling menyedihkan, punya banyak masalah. semakin tambah usia, aku baru sadar ternyata hidupku ngga ada apa apanya sama orang lain, ngga serumit orang lain. kadang suka ngakak, apalagi kalo nangisin cowo",Happy
"waktu kecil suka banget ngomongi masa depan ke teman teman, eh udah gede malah suka ngomongin teman. ngakaakk",Happy
"oiya mau nambahin lagi! meskipun cara anaknya ambis tapi dia anaknya ga kaku dan galak, justru cara tu orangnya rame, suka spam sticker tuyul, dan tiktok jelek memang manusia tidak sempurna maka dari itu, ketidaksempurnaan cara adalah humornya minus banget",Happy
"aku gak suka yang bertele tele phi, enaknya makasih na phi! jangan bosen bosen kasih aku makanan dan kawan kawannya",Happy
"done, wish me luck suka banget momen skz yang ini, lucu. selalu ketawa terus tysm!!",Happy
nunggu banget nanti malam karena mau lihat konfliknya nunggu banget nanti malem karena mau lihat siapa penulis barunya *biasanya suka muncul tuh di opening,Happy
"suka korea tapi level kebodohan bucin hanya untuk diri sendiri dan gak nyinyir kesukaan orang. so, gw setuju sama ini",Happy
jadi hater nya gofar tuh enak tau wkwmwkwkw kalo kejadian ini fix gofar yang bener mereka tinggal bilang gak suka sama kelakuan nya. geser isu wkwkw biar gak malu malu banget udah belain orang skizo selama 8 bulan,Happy
"ini gua ketawa banget liat komennya, lu bedain bg mana yang deket sama yang kaga. lu kata exo temenan cuman satu tahun dua tahun? kaga anjr wkwk. suka duka udh di lewatin sama"", ngejokes bgtu udh biasa. lah notabenya yang baru kenal udh sokap? lol,lu pikir sendiri aja apa bedanya",Happy
"udah dong! sekarang akunku aman banget, tapi kadang masih suka takut kalau ngetweet tiba tiba gak bisa kekirim. : c tapi kayaknya itumah sinyal. anyway, semangat untuk hari ini!",Happy
"manajer kayanya. suka bikin planning sbnrnya walaupun sering banget dipatahkan sama keadaan, stay strong",Happy
"pengen banget punya jaket varsity, eh taunya dikasih jaket keren, alhamdulillah rezeki anak sholeh.",Happy
"i play both! tapi lebih suka the electric one, karena amp sempet rusak jadi udah lama gak main! (tmi: when i was in a band, i play the keyboard though.) oh dua-duanya udah gue baca! your letter tuh artnya bagus banget.",Happy
"katanya dulu jeno pernah ngasih hadiah powerbank moomin ke renjun ya? kata jeno biar renjun selalu inget jeno terus pas renjun pake powerbanknya. oh terus jeno juga pernah bilang ke renjun ""bisa ga sih kamu suka sama aku kaya kamu suka sama moomin? aku cemburu"" wkwk lucu banget",Happy
allah kalo ngasih surprise suka banyak banget jd terkejutt bahagia ahaha,Happy
"w ngerasa cringe bgt anjir dr kmrn, kayak mau ngetik kak tuh a nya suka ilang jd kk emg sama aja si.. cm kan kesannya baku banget kyak w ngetik kakak tp di singkat jd kk hehe, kocak and ngakak deh pokknya",Happy
jgn pergi anda kata ustadnya ya suka suka dialah stad wkwk,Happy
"amanda, dia temen sekelas aku waktu kelas 7. dia tuh cantik banget masyaallah, baik jugaa kalo ngomong tuh anggun, bawaannya adem aja kalo ketemu dia, trus anaknya solehah + pinter, dia suka ikut2 organisasi gitu. kurang apalgi coba",Happy
"done all, wish me luck aku suka banget foto hj pake topeng gini kaya pangeran gituu",Happy
"ini ibuku banget, beliau suka heran kok anaknya bisa beli barang2 kpop terus masih bisa beli baju dll, sampe ngira aku jual narkoboy terus tak jelasin aku selama ini suka jual macrame baru ibuku lega",Happy
"kok bisa setengah doang? waduh asik banget, kak juyeon suka lagu yang mana??",Happy
aku tau ini telat tapi welcome dear waa seneng banget dengernya kalau kamu suka maapin ini authornya lagi bingung ama cerita sendiri gegara chapter baru tokrev jadi nunggu lama doain semoga ada hidayah(?) ya anyway thank you for reading,Happy
jenius banget sihh makasihh kamu belajar darimanaa,Happy
"wow hari ini rasa rajin banget. belanja ke pasar terus bikin ebi furai nge-recook resepnya ci devina hermawan. untung berhasi dan enak, jadi semua orang rumah suka.",Happy
"not sender tp aku jg udh selesai baca,ini genre romance+mental health bagus banget kalo suka cerita yg ga cuma ada romance-nya tp jg bahas banyak hal tentang mental health yg banyak bahasan psikologi-nya jg. dibawa jalan2 jg krn authornya ngedeskripsiin tempatnya bagus.",Happy
"ya itu binghe emangnya syp lagi kk aku gatau siapa"" ya buat km, sp lg coba mutualku kalo mau kasih temen juga gk mungkin, mrk lbh suka dikasi boba daripada gambaran ku wkwk",Happy
"sukailah suka, sayangilah sayang, dan cintailah cinta..maka di akhir perjalanan kau temukan kebahagiaan",Happy
"wahh suka sama tanaman ya om? sama kaya ibu aku. kadang emang gitu om, kalau sama2 sibuk atau salah satunya sibuk jarang banget ketemu. kalau nanti jadi ketemu sama adiknya titip salam ya om, semangat menjalani harinya. anw, enHappy your day om",Happy
"haai, sender! selamat pagi, aku mau kenalin anak aku namanya kaitlyn () yang bisa banget kamu ajak food date mcflurry hari ini loh. kalau untuk varian mcflurrynya, kaitlyn suka yang mana aja kok atau nanti kamu bisa obrolin lagi sama kath ya, sender. --",Happy
"paling suka sih sama line guardiannya yg terakhir kali, seinget gue yg di versi thai guardiannya juga bilang gitu ""after all, life is a merely long-term homestay"" itu bener bener kayak, astaga.. mixed feelings banget pas denger itu",Happy
"sekian. gue sampe detik ini masih suka feel so amazed banget sama jungwon, keren banget dah pokoknya nih anak kalo gue jabarin satu satu bisa jadi manuskrip berharga yang diperebutkan seluruh dunia.",Happy
"*kumpul keluarga relative: wah uda gede banget kamu, sekarang hobinya ngapain aja? mak gua: ohh si ini suka banget baca relative: wah iya kah pantesan kacamatamu tambah tebel itu gua: hehe iya tante.. also gua: /yg dibaca manga sm fanfiction smut ngakak abissss",Happy
"tapi seru juga ya bacain tweet yang kemaren kemaren feeling orang gilanya dapet banget, aku suka ngetawain nasibku sendiri",Happy
"teh godhong kupu aq udah jadi satu teko gitu biasanya buat 1 hari, 3x minum.. rasanya kaya air cincau gt.. kalo yg suka manis bisa si kasih madu dll, tp aku lebih suka kasih garem dikit (sea salt aq abis jd pake himalaya) enak gt rasanya ada hint manis dari daunnya, seger!",Happy
"mauuuuu!! aku dari kemaren mau mcflurry banget nder t__t tapi mau yang biasa aja yang oreo t__t aku ga terlalu suka yang varian barunya, kemanisan t__t",Happy
"100 days my prince, ini wajib banget ditonton apalagi kalo suka romcom",Happy
bener banget .. aku baru suka khh sekitar 1 bulan ini dan mulai mendalami dan segi rapper dan agensi mereka but u know wait agensi aomg dan h1ghr music yang di pegang dan di kelola jaebom bener2 hebat dan di isi segudang prestasi artis nya,Happy
"gue paling suka romansa sama jolly, wanginya manis tapi pas. kalo yg manis banget itu charming, soft tapi manis banget. kalo pengen gak terlalu manis bisa coba yg fantasia. kalo freshy aroma manisnya beda, gak soft gitu manisnya lebih ke nyegerin. this is my opinion.",Happy
"lucu banget ""kalo gak minta izin nanti ortu kamu gak suka sama aku"" ngakak awkakwwka",Happy
akhir nya costum aku datang sekian lama nunggu paling suka banget blakang terbuka depan terbuka yuk yg mau bo hari ini dan mau isi slot buat malam minggu nanti langsung dm aja wajib dp!!,Happy
halo mas jnt makasih sudah mengantarkan paket kesayangan saya tapi nama saya double r,Happy
seru banget kadang suka rewatch wkwk 8.5/10,Happy
"pagii!! mau ngenalin anak lama yg ak pribadi suka banget sm backstorynya krn kyk fabel xixi ini malam sm senja. dulunya mereka hewan asli, lho. tp dewi bulan dan matahari ngerestuin mereka jd manusia krn beberapa hal",Happy
"yg aku suka dari idexpress ada nama kurirnya, mana cepet banget njirr",Happy
ini rame banget urang suka ge pas kr bocil wkwkw,Happy
"kalian yang belum nonton, mending nonton sii, awalnya nonton ini karna d.o. tapi malah suka ke jo in sung nya juga) plot twist nya bikin nangis banget, apalagi scene ini",Happy
"fess ada yg suka minuman non coffee apa aja dan pake susu almond? biasanya minumannya apa dan beli dimana? kmrn aku beli latte sbux pake susu almond, suka banget, tapi mau nyari yg non coffee",Happy
"banyak2 baca dan latihan ngerjain soal, tapi gue dulu suka kimia karena ibuknya baik, sabar dan enak banget ngajarnya, guru favorit guee pas sma wkwkk",Happy
"jangan gitu nder, gua juga suka keluar tengah malem terus foto kembang itu, bagus banget soalnya pas liat wkwk",Happy
terima kasih sudah belii semoga suka dan berguna dan membawa berkah yaa,Happy
"sebagai yang suka main game online, butuh banget internet cepat di rumah. kalo internet lancar, main game juga bakal jadi lancar. untung di rumah udah pasang indihome",Happy
suka banget ngeliat luka ngehajar clippers wkwk,Happy
"ini loh kayak gini tiap baca ceritanya, aku suka ketawa karena kelakuannya aku banget",Happy
"banyak yangg aku mau belii, tapi mungkin aku beli 1/2 buku ajaa aksks pengennya wishlist aku ke coret semua aku dari dulu emang suka banget baca buku kayak novel genre nya bebas deh kecuali komik soalnya pusing baca nya",Happy
"kalo indonesia aku lebih suka per artist sih kayak kunto aji, tulus, sama yura yunita soalnya liriknya bagus-bagus bangett",Happy
"morning cantik, kebetulan nih kala pakai fc taehyung dan side fc nya jungkook jadi pas buat kamu wkwkw avail buat hari ini bisa kok tipikal aku itu suka banget bawel sama pacar terus juga kadang suka cerita hal random gitu dari mulai sambang sampe merauke wkwk bahasanya",Happy
iyah enak banget coba denger banyak idol yang suka juga dan tentunya ost main vocal gfriend hehe,Happy
"buat kalian yang butuh epha app prem yg murah, fastrespon dan suka kasi promo, aku opres batch 2 sampe full member nih! mau intip pl atau mau nanya2 dulu? bisa banget! rep aja nanti kuketuk dm-nya ;3",Happy
baca di mf ini deh nder udh bnyk yg kasih review soalnya. tpi klo kmu suka drama ringan & fresh.. cocok sih.,Happy
ketika dokter pembimbing demanding suka nanya2 tetapi dia baik banget,Happy
"suka banget kalo main twt tiba"" ada yg random begini . btw makasii sender udah bikin ketawa",Happy
terima kasihh! aku kemarin sempat down banget karena pertama kali jadi komisi orang gitu. aku takut orang gak suka desain ku sampai sempat stress seharian tapi alhamdulillah dia mau nerima terus dijadiin desain baju jualan dia huhu,Happy
"terima kasih banyak kak derza! aamiin aamiin terima kasih atas semua ucapan dan doa baiknya. semoga semua doa baiknya berbalik ke kamu ya. terima kasih sudah menyempatkan ngucapin selamat ulang tahun ke aku hehe. terima kasih juga atas hadiah, kue, dan bunganya. aku suka banget",Happy
"selain itu, saat ini belut juga sudah menjadi cemilan yang dikembangkan oleh beberapa umkm lho. wah, keren banget kan. paling suka makan hidangan apa nih dari belut?",Happy
baca bitmoji stories suka ngakak sendiri. karakternya aku banget kayak gitu. tengil ngeselin,Happy
"inilah yang sudah lama kunanti. akhirnya ngadain webinar yg topiknya nendang banget, yaitu tentang toxic relationship. yuk lah bestie yang masih suka galau2 masalah percintaan mending ikutan ini!!",Happy
rasanya tuh enak banget kalo di gadoin apalagi kalo habis dr posyandu gitu suka dikasih terus gadoin bareng sama temen2,Happy
"me too, malah kalo menang ga suka aku kasih tau, jd kalo aku beli2an barang gitu kek ""yaudah kalo ada uangnya mah"" wkwk",Happy
"random banget gue mimpiin mereka berdua wkwk dulu bucin banget sama film ini, gara gara film ini gue sempet suka film film thailand wkwk",Happy
"sumpah no comment. brcnd. temen gue lumayan lama paling lama itungane udah mau tiga tahun apa?so far so good galak banget tapi sumpah keren banget anaknya kreatip dan suportip, suka minum kopi sehari abis dua liter abis itu bilang gabisa tidur :v",Happy
"aslik suka banget sama natrep. msh ada produknya yg under 20k. cocok di muka pun, ga bkn break out",Happy
"iya bangett, tapi no wonder sih. mama pas masih muda cantikk banget. pas baru kerja pun, katanya banyak atasannya yg suka. kalo liat album mama pas masih muda, beuh mau nangiss cakep banget mama sama temen-temennya juga cakep-cakep",Happy
"tentang makhluk mitos bulgasal yg mau balas dendam, dan dalam perjalanannya dia tuh bertemu dgn keluarga. kayak ini balas dendam, tapi juga fokus pada hubungan antar manusia. aku suka banget bagaimana hubungan tiap dari mereka develop pokoknya bagus bgt huhu",Happy
aku buncit dan pacarku malah suka banget. katanya gemesin. dia suka cubit2 perutku kalo lagi motoran,Happy
"maria vania cukup memerhatikan fashion saat berolahraga jetski, main tenis, hingga golf!",Happy
udh solo stan masih aja dukungnya stengah stengah wkwk apa rasanya faves kalian lebih sayang sama member yang kalian ga suka?? lol wkwkwk,Happy
"mamakku itu, emang cantik banget mamaku dulu mamaku suka porotin duit cowok wkwk sekarang alhamdulillah tidak mendukung ke anaknya",Happy
"kaya dia bakal kasih apapun ke orang itu, tapi jarang banget kejadian soalnya kan gemini suka main main jadi jarang banget tuh mau serius gitu wkwk",Happy
"bener banget haha sampe skrg msih suka kebayang2 sendiri, temen2 yg baru nonton aja aku jdi ikutan nonton saking gamonnya",Happy
"itu dibase. nyari mutual, trus bilangnya ""aku suka foto ga jelas"" tapi yg di post jelas banget makanya mau ketawa wkwk",Happy
"selamat pagi dari pku,tante baru bgn,nyenyak banget bobonya ga gerak2 semaleman semoga sehat n happy selalu teman2 se alter.yakin selalu ada rejeki tuk kita hari ini ya . cemilan dari momo juga ikut menemani tante visit pku,emg gitu tante suka bawa2",Happy
kala brown keong cup cocok banget nih buat kalian yang suka barang cantik dan unik,Happy
"baru banget beres baca, dibawahnya ada bonchap dong gg bisa ngeclaim lagi l bagus banget au nyaa, aku suka dan jarang banget nemu au seokjin thanks",Happy
". lucu banget tetangga ngira aku punya baby karna tiap pagi suka gendongin kucing cium cium. dia kira baby sampe dia nanya ""babynya umur brp mbak?"" aku malah ketawa",Happy
"dulu gojek rame banget dan grab juga masih sepi, katanya sebagian saham uber di beli grab jadi macam kerja sama mereka. kwkwk ttp w lebih suka uber sendiri weh ga mau balik lagi apa ya",Happy
cinta tak suka berlama-lama dalam kesedihan. just move on! -,Happy
"kok suka ya liat fadly, omnya gala. kaya adem gitu liat wajah dia. nggak yg cakep banget, tp adem aja diliatnya kek ubin mesjid.",Happy
moots aku free tag jadi tag aja sepuas nya oke aku tuh suka banget liat notip ku banyak gini,Happy
setuju banget. ak jg orgnya ngantukan suka tbtb merem lg beraktifitas. minum kopi aja udah ga mempan tau2 setengah jam abis ngopi malah ngantuk bukan melek wkwkwkwkw,Happy
ya allah exol makin banyak. seneng banget deh rasanya. even mereka hiatus pun masih banyak yang suka,Happy
"dulu nemenin mbah nonton ini sepulang sekolah atau kalau lagi libur waktu siang . mbahku juga kalau nonton ini serius banget nyimaknya wkwk. aku suka bercandain dgn ganta ganti channel, apalagi kalau pas scene naga terbang ngakak bgt ngeliatnya",Happy
"halo ka ofiee!! aku suka bangeett sama genre au kaka yang baru. semangat terus ya nge-au nya. jaga kesehatan selalu, dan jangan lupa baha.. ” haii!! woww aku seneng banget dengernya makasi yaa udah suka dan mau bacaa jangan lup.. fiecc",Happy
"suka banget sama dialog ini, simple tapi ngena buat gue pribadi, harus diabadikan /ckrek",Happy
"pertama suka idolnya tsukipro itu dari 2.5d butai tsukiuta, suka banget six gravity, baru deh dengerin drama cd dan nonton animenya. lalu menjalar ke grup lain kayak solids, growth, vazzy dan infinit0",Happy
"tetangga ku baik baik semua,agak kepoan sih tp masih batas wajar,ga kepo2 banget. suka tolong menolong,murah senyum,pokonya betah deh",Happy
entah suka banget kalo denger musiknya wagakki band.,Happy
"renjana beuhh bagus banget!! sempet baca sampe tamat di wattpad sblm naik cetak. biasa nya ga begitu suka baca novel tentang reinkarnasi soalnya bahasanya biasanya berat, tapi disini bahasa nya mudah dimengerti",Happy
sebelumnya.. yang meraknyat aja belum ngapain mendunia.pujian di luar negri hinaan di negri swndiri..pak anies cinta rakyat cinta warga..utamakan kemakmuran kedamaian kedaulatann..gw suka gaya pak aniss..,Happy
"hahaha sama, lagi baca ulang volvoreta gak tau kenapa kakak tuh suka banget ngulang baca volvoreta, habis aku revisi haha tidak ada lagi part ekehm nya, jadi amann",Happy
39. suka banget klepon,Happy
"haii jugaa boleh temenan gak min, jujur tweets kamu seru banget dan sering seliweran di tl suka liatnya!! telat gak sih min baru nawarin diri :d",Happy
dan ffvii juga! saya suka banget dengan konsep sekolah magic soldier di game ini. dan battle antar sekolah. pertama kalinya cutscene battle squall vs seifer memikat jutaan player (i hate rinoa!) jauh sebelum harry potter rilis,Happy
"iya, gaya penulisannya aku suka banget, ringaan. enakk bacanya hahah",Happy
"assalamualaikum temen-temen ini keadaan alan sekarang yaa sudah lebih baik alhamdulillah dia makannya lahap, sudah minum obat dan rutin aku kasih salep tapi sayang banget dia kalo pup minta keluar rumah dan harus dijagain supaya nda kena kucing kampung yang suka nyerang k",Happy
wkwkwk mana uah mau end kan. emg si adnan suka banget bikin kita kepikiran. wkwkkw,Happy
sampe temen temen aku inget aku suka banget sama lagu ini haha,Happy
"mana pas syuting lucu banget, suka becanda bareng jisoo",Happy
"aku bukannya nda suka sih tp ngga bisaa, karena punya alergi rhinitis dan kt dokter kalau bisa di kamar jangan ada terlalu banyak barang biar nda memperparah, jd wkt itu siklusnya beli - baca - jual/kasih orang. untungnya sekarang udah ada e-reader puji tuhan!",Happy
"alhamdulillah kabar baik jugaa, udh srpan belum niee ??",Happy
"alhamdulillah jimin udah sembuhh amyy,plis seneng bangett lagi disekolah seharian bdmd gatau kenapa dengar kabar ini langsung naik moodnyaa,sehat-sehat terus yawwww",Happy
halloo pagi pagi buka hp dapet banyak kabar baik,Happy
haii hai ikut po md photopack di mirfa yuk dom tangerang bookslot cuma 50k bisa dicicil santai! ^^,Happy
bangun2 demger kabar jimim sembuh tuh bahagianya,Happy
alhamdulillah jimin pagi2 kabar baikk,Happy
pagi ku cerah karena dapet kabar baik jimin udah sembuh walaupun hari ini hujan deres bgt di dom ku vote for at the,Happy
wkwkwk santai aja ayok mutualan sini,Happy
"alhamdulillah,, dapat kabar baik",Happy
"haii, apa kabar? jangan lupa sarapan yaa , minum air putih banyak banyak , jaga kesehatan yaa!! . kalo keluar rumah jangan lupa pake masker , cuci tangan dan jangan lupa jaga jarak . have a nice day , semangat untuk hari ini!!",Happy
"haii sasa, apa kabar? jangan lupa sarapan yaa , minum air putih banyak banyak , jaga kesehatan yaa!! . kalo keluar rumah jangan lupa pake masker , cuci tangan dan jangan lupa jaga jarak . have a nice day , semangat untuk hari ini!!",Happy
"pagi-pagi ada kabar baik kalo jimin sudah sembuh, dan tinggal menjalani masa pemulihan doang. alhamdulillah, sehat-sehat terus jimin!",Happy
baru bangun dapet kabar baik,Happy
". seneng banget pagi-pagi dapat kabar bagus begini, syukurlah jiminnya army sudah sembuh. sehat selalu jimin.",Happy
bismillah.. semoga saja beruntung done,Happy
seneng bgt bangun tidur dapet kabar jimin udh sembuh dr covid,Happy
"alhamdulillah pagia"" dapet kabar baik",Happy
"i think senpai-tachi found it kenchan is so cute tho. i mean, mereka berdua tuh udh kenal kenchan dri umur belasan tahun atau bahkan kurang, trus dapet kabar dia nikah dengan salah satu orang yg mereka kenal juga, jadi ngerasa kyk ngebesarin anak sendiri pasti wkwk. lucu banget",Happy
"alhamdulillah yallah pagia"" dapat kabar baik rest well jimin",Happy
seneng banget pagi2 dapet kabar dari ayang,Happy
selamat pagi luar biasa tetap semangat,Happy
hari ini dapat kabar baik,Happy
"ntah kebetulan atau engga, setiap gua udah capek banget, ada yang dateng ke mimpi buat nannyain kabar haha makasih loh ka wooya udah mampir ke mimpi dan jadi tempat curhat haha",Happy
kabar baiik yey,Happy
alhamdulillah jim kamu udah sehat jangan lupa kasih kabar ke army ya ?,Happy
"uri markeu selamat buat solo stationnya yeayy proud of you, makasii udah nyiptain karya yg luar biasa, makasi jg udh nyiapin banyak hal di thn kemarin dan thn ini, sehata"" trs ya mark, aku tunggu projek selanjutnya, speechless bgt dan smg karyanya bisa jadi motivasi ya mark",Happy
kabar baik di pagi hari cepet pulih jiminie,Happy
alhamdulillah jiminiee. masi pagi udah dapet kabar baik! senengggggggggggg -pagi,Happy
saya udah biasa dibilang jahat wkwk,Happy
untuk perempuan yang apa apa biasa sendiri kalian luar biasa semoga diberi kesehatan jasmani dan rohani semangat !,Happy
"huaa alhamdulillah pagia"" udah dapet kabar baik dari jimin",Happy
beyb sabtu gini biasa rame gak ya.. btw semangat ya semua! semoga hari ini laris manis,Happy
alhamdulillah yaallah dapat kabar baik pagi ini jimin is covid free,Happy
"happy birthday sender!! wish u all the best, be happy ya bsk giliran harinya aku tp pasti g ada yg ngucapin jg, ya gpp dah biasa",Happy
dapat kabar baik alhamdulillah jimin udah dinyatakan negatif covid.,Happy
puji tuhan seneng banget pagi-pagi dapat kabar kalau jimin udah bisa pulang ke rumah,Happy
alhamdulillah luar biasa allahuakbar,Happy
wonya dia santai tapi kena ke semua otot. mantap.,Happy
pagi' dah dapet kabar baik bgt alhamdulillah bgt si,Happy
alhamdulillah pagi2 dapet kabar baik,Happy
"bang tombyyyyyyy apa kabar, lama gak nampak, sehat slalu ya.. ayo ikutan bang.. alhamdulillah kabar saya baik, dan masih wangi",Happy
muantap luar biasa,Happy
